Gender,Age,City,PurchaseFrequency,Browser,BrowsingTime,PaymentOption,EasyToRead,SimilarProductInfo,UserFriendly,ConvPayment,CustomerPrivacy,MonetaryBenefits,Convenient,ReturnPolicy,ProductVariety,ProductInfo,Savings,RetailersShopped,EasyToUse,WideVariety,WebsiteReliability,SpeedyDelivery,CustomersPrivacy,FinancialSecurity,RecommendRetailer
Female,41-50 yaers,Noida,Less than 10 times,Google chrome,more than 15 mins,Credit/Debit cards,Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),Strongly agree (5),indifferent (3),Strongly agree (5),Strongly agree (5),indifferent (3),Strongly agree (5),Strongly agree (5),"Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com",Amazon.in,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Snapdeal.com","Amazon.in, Flipkart.com"
Female,51 years and above,Gurgaon ,Less than 10 times,Google chrome,more than 15 mins,Credit/Debit cards,Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),indifferent (3),"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Myntra.com",Amazon.in,Amazon.in,"Amazon.in, Flipkart.com, Myntra.com"
Female,31-40 years,Greater Noida,11-20 times,Google chrome,11-15 mins,Credit/Debit cards,Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),indifferent (3),Strongly agree (5),Strongly agree (5),Agree (4),Strongly agree (5),Agree (4),"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com"
Female,21-30 years,Karnal ,41 times and above,Google chrome,11-15 mins,"E-wallets (Paytm, Freecharge etc.)",Strongly agree (5),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),"Amazon.in, Paytm.com, Myntra.com","Amazon.in, Paytm.com, Myntra.com","Amazon.in, Myntra.com","Amazon.in, Paytm.com, Myntra.com",Amazon.in,Amazon.in,"Amazon.in, Paytm.com, Myntra.com","Amazon.in, Paytm.com, Myntra.com"
Female,21-30 years,Bangalore ,41 times and above,Safari,6-10 mins,Credit/Debit cards,Agree (4),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),indifferent (3),Agree (4),Agree (4),Agree (4),Strongly agree (5),"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com"
Male,31-40 years,Noida,21-30 times,Safari,more than 15 mins,Credit/Debit cards,Strongly agree (5),Indifferent (3),Strongly agree (5),Strongly agree (5),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),Agree (4),Strongly agree (5),"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com",Myntra.com,"Amazon.in, Paytm.com, Myntra.com",Amazon.in,"Amazon.in, Paytm.com",Paytm.com,"Amazon.in, Myntra.com"
Male,41-50 yaers,Delhi,Less than 10 times,Google chrome,more than 15 mins,"E-wallets (Paytm, Freecharge etc.)",Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com",Amazon.in,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Paytm.com"
Female,41-50 yaers,Delhi,Less than 10 times,Google chrome,more than 15 mins,Credit/Debit cards,Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Strongly agree (5),Agree (4),indifferent (3),Agree (4),"Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com",Amazon.in,"Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Flipkart.com, Paytm.com, Myntra.com, snapdeal.com"
Female,21-30 years,Solan,11-20 times,Safari,6-10 mins,Credit/Debit cards,Agree (4),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),indifferent (3),Agree (4),Agree (4),Agree (4),Strongly agree (5),"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com"
Female,21-30 years,Noida,41 times and above,Safari,more than 15 mins,Credit/Debit cards,Strongly agree (5),Indifferent (3),Strongly agree (5),Strongly agree (5),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),Agree (4),Strongly agree (5),"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com",Myntra.com,"Amazon.in, Paytm.com, Myntra.com",Amazon.in,"Amazon.in, Paytm.com",Paytm.com,"Amazon.in, Myntra.com"
Male,31-40 years,Gurgaon ,31-40 times,Google chrome,6-10 mins,Credit/Debit cards,Strongly disagree (1),Dis-agree (2),Strongly disagree (1),Dis-agree (2),indifferent (3),Strongly disagree (1),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com",Amazon.in,Amazon.in,Paytm.com,Flipkart.com,Amazon.in
Male,41-50 yaers,Greater Noida,31-40 times,Google chrome,1-5 mins,Cash on delivery (CoD),Strongly agree (5),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),Strongly agree (5),Agree (4),Agree (4),"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com",Amazon.in
Female,41-50 yaers,Greater Noida,41 times and above,Google chrome,more than 15 mins,Cash on delivery (CoD),Agree (4),Strongly agree (5),Strongly agree (5),Agree (4),Strongly agree (5),Agree (4),Agree (4),Strongly agree (5),Agree (4),Agree (4),Agree (4),"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com",Flipkart.com
Female,21-30 years,Merrut,41 times and above,Google chrome,6-10 mins,Credit/Debit cards,Strongly agree (5),Indifferent (3),Agree (4),Agree (4),Strongly agree (5),Dis-agree (2),Agree (4),Strongly agree (5),indifferent (3),Agree (4),Disagree (2),"Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Paytm.com",Amazon.in
Female,21-30 years,Bangalore ,Less than 10 times,Google chrome,more than 15 mins,Credit/Debit cards,Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),Strongly agree (5),indifferent (3),Strongly agree (5),Strongly agree (5),indifferent (3),Strongly agree (5),Strongly agree (5),"Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com",Amazon.in,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Snapdeal.com","Amazon.in, Flipkart.com"
Male,21-30 years,Ghaziabad,11-20 times,Google chrome,more than 15 mins,Credit/Debit cards,Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),indifferent (3),"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Myntra.com",Amazon.in,Amazon.in,"Amazon.in, Flipkart.com, Myntra.com"
Male,31-40 years,Delhi,41 times and above,Google chrome,11-15 mins,Credit/Debit cards,Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),indifferent (3),Strongly agree (5),Strongly agree (5),Agree (4),Strongly agree (5),Agree (4),"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com"
Female,41-50 yaers,Greater Noida,31-40 times,Google chrome,11-15 mins,"E-wallets (Paytm, Freecharge etc.)",Strongly agree (5),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),"Amazon.in, Paytm.com, Myntra.com","Amazon.in, Paytm.com, Myntra.com","Amazon.in, Myntra.com","Amazon.in, Paytm.com, Myntra.com",Amazon.in,Amazon.in,"Amazon.in, Paytm.com, Myntra.com","Amazon.in, Paytm.com, Myntra.com"
Female,41-50 yaers,Karnal ,Less than 10 times,Safari,6-10 mins,Credit/Debit cards,Agree (4),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),indifferent (3),Agree (4),Agree (4),Agree (4),Strongly agree (5),"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com"
Female,Less than 20 years,Bangalore ,Less than 10 times,Safari,more than 15 mins,Credit/Debit cards,Strongly agree (5),Indifferent (3),Strongly agree (5),Strongly agree (5),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),Agree (4),Strongly agree (5),"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com",Myntra.com,"Amazon.in, Paytm.com, Myntra.com",Amazon.in,"Amazon.in, Paytm.com",Paytm.com,"Amazon.in, Myntra.com"
Male,31-40 years,Noida,Less than 10 times,Google chrome,6-10 mins,"E-wallets (Paytm, Freecharge etc.)",Agree (4),Indifferent (3),Dis-agree (2),Dis-agree (2),Agree (4),indifferent (3),Dis-agree (2),Dis-agree (2),indifferent (3),indifferent (3),Disagree (2),"Amazon.in, Paytm.com",Paytm.com,Flipkart.com,Paytm.com,Amazon.in,Amazon.in,Amazon.in,Flipkart.com
Male,31-40 years,Delhi,21-30 times,Google chrome,more than 15 mins,Credit/Debit cards,Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Flipkart.com, Myntra.com",Myntra.com,"Amazon.in, Flipkart.com",Myntra.com,Myntra.com,"Amazon.in, Myntra.com"
Female,41-50 yaers,Greater Noida,Less than 10 times,Google chrome,11-15 mins,"E-wallets (Paytm, Freecharge etc.)",Strongly agree (5),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),"Amazon.in, Paytm.com, Myntra.com","Amazon.in, Paytm.com, Myntra.com","Amazon.in, Myntra.com","Amazon.in, Paytm.com, Myntra.com",Amazon.in,Amazon.in,"Amazon.in, Paytm.com, Myntra.com","Amazon.in, Paytm.com, Myntra.com"
Female,51 years and above,Karnal ,Less than 10 times,Safari,6-10 mins,Credit/Debit cards,Agree (4),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),indifferent (3),Agree (4),Agree (4),Agree (4),Strongly agree (5),"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com"
Female,21-30 years,Bangalore ,11-20 times,Safari,more than 15 mins,Credit/Debit cards,Strongly agree (5),Indifferent (3),Strongly agree (5),Strongly agree (5),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),Agree (4),Strongly agree (5),"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com",Myntra.com,"Amazon.in, Paytm.com, Myntra.com",Amazon.in,"Amazon.in, Paytm.com",Paytm.com,"Amazon.in, Myntra.com"
Male,31-40 years,Noida,Less than 10 times,Google chrome,more than 15 mins,"E-wallets (Paytm, Freecharge etc.)",Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com",Amazon.in,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Paytm.com"
Male,41-50 yaers,Delhi,11-20 times,Google chrome,more than 15 mins,Credit/Debit cards,Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Agree (4),Strongly agree (5),Agree (4),indifferent (3),Agree (4),"Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com",Amazon.in,"Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Flipkart.com, Paytm.com, Myntra.com, snapdeal.com"
Female,41-50 yaers,Greater Noida,41 times and above,Google chrome,6-10 mins,Credit/Debit cards,Strongly disagree (1),Dis-agree (2),Strongly disagree (1),Dis-agree (2),indifferent (3),Strongly disagree (1),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com",Amazon.in,Amazon.in,Paytm.com,Flipkart.com,Amazon.in
Female,21-30 years,Karnal ,31-40 times,Google chrome,1-5 mins,Cash on delivery (CoD),Strongly agree (5),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),Strongly agree (5),Agree (4),Agree (4),"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com",Amazon.in
Female,21-30 years,Bangalore ,31-40 times,Google chrome,more than 15 mins,Cash on delivery (CoD),Agree (4),Strongly agree (5),Strongly agree (5),Agree (4),Strongly agree (5),Agree (4),Agree (4),Strongly agree (5),Agree (4),Agree (4),Agree (4),"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com",Flipkart.com
Male,31-40 years,Noida,41 times and above,Google chrome,6-10 mins,Credit/Debit cards,Strongly agree (5),Indifferent (3),Agree (4),Agree (4),Strongly agree (5),Dis-agree (2),Agree (4),Strongly agree (5),indifferent (3),Agree (4),Disagree (2),"Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Paytm.com",Amazon.in
Male,21-30 years,Delhi,41 times and above,Google chrome,more than 15 mins,Credit/Debit cards,Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),Strongly agree (5),indifferent (3),Strongly agree (5),Strongly agree (5),indifferent (3),Strongly agree (5),Strongly agree (5),"Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com",Amazon.in,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Snapdeal.com","Amazon.in, Flipkart.com"
Female,21-30 years,Greater Noida,Less than 10 times,Google chrome,more than 15 mins,Credit/Debit cards,Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Agree (4),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),indifferent (3),"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Myntra.com",Amazon.in,Amazon.in,"Amazon.in, Flipkart.com, Myntra.com"
Female,31-40 years,Merrut,11-20 times,Google chrome,6-10 mins,"E-wallets (Paytm, Freecharge etc.)",Agree (4),Indifferent (3),Dis-agree (2),Dis-agree (2),Agree (4),indifferent (3),Dis-agree (2),Dis-agree (2),indifferent (3),indifferent (3),Disagree (2),"Amazon.in, Paytm.com",Paytm.com,Flipkart.com,Paytm.com,Amazon.in,Amazon.in,Amazon.in,Flipkart.com
Female,41-50 yaers,Bangalore ,41 times and above,Google chrome,more than 15 mins,Credit/Debit cards,Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Flipkart.com, Myntra.com",Myntra.com,"Amazon.in, Flipkart.com",Myntra.com,Myntra.com,"Amazon.in, Myntra.com"
Male,41-50 yaers,Noida,31-40 times,Google chrome,11-15 mins,"E-wallets (Paytm, Freecharge etc.)",Strongly agree (5),Agree (4),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),Strongly agree (5),"Amazon.in, Paytm.com, Myntra.com","Amazon.in, Paytm.com, Myntra.com","Amazon.in, Myntra.com","Amazon.in, Paytm.com, Myntra.com",Amazon.in,Amazon.in,"Amazon.in, Paytm.com, Myntra.com","Amazon.in, Paytm.com, Myntra.com"
